"ano","regiao","uf","municipio","ef_LP5","ef_LP9","ef_MT5","ef_MT9","ef_aband","i_mag"
2013,"Norte","RO",1100015,0.87135297877967,0.900653920231168,0.922686977803639,0.939897307333279,0.336001095047827,0.682867765426636
2015,"Norte","RO",1100015,0.960658726845862,0.932291140209362,0.962892987444068,0.961089533745379,0.506519441599634,0.61074697971344
2013,"Norte","RO",1100023,0.806027227451221,0.943950450410977,0.856951359706507,0.962258521872764,0.475768725760434,0.676812469959259
2015,"Norte","RO",1100023,0.967948100386207,0.962414662897437,0.968588432504444,0.977942748245823,0.669453958215894,0.660840511322021
2013,"Norte","RO",1100031,0.847356467316082,0.958753570309702,0.892803084378185,0.996952284734936,0.869609575679214,0.693578064441681
2015,"Norte","RO",1100031,0.959569905139992,0.954052785614058,0.950841242687418,0.996419948705186,0.833138032750167,0.693060636520386
2013,"Norte","RO",1100049,0.826540215344371,0.932040455900765,0.885613611690908,0.955518813564222,0.779171553338399,0.671107351779938
2015,"Norte","RO",1100049,0.959664478791334,0.959874934823661,0.960157327154625,0.985753676830686,0.857271273841338,0.68028599023819
2013,"Norte","RO",1100056,0.898705973103937,0.941531164850329,0.94438429028877,0.972990578773469,0.71717257276484,0.67639023065567
2015,"Norte","RO",1100056,0.958966059217283,0.942757150282503,0.960696007169868,0.969054348389831,0.594598245830853,0.640106916427612
2013,"Norte","RO",1100064,0.876359320874013,0.944483473273069,0.933364389147675,0.977618135406482,0.85011009943183,0.703411400318146
2015,"Norte","RO",1100064,0.962709441750107,0.960926742336073,0.963929689387842,0.976778083185592,0.804502312744688,0.721793651580811
2013,"Norte","RO",1100072,0.798766274462498,0.946489639719466,0.865345757075512,0.955737935843765,0.377408053512586,0.688780903816223
2015,"Norte","RO",1100072,0.965192509797532,0.946465704209395,0.967071382881216,0.947658576619621,0.341156006571343,0.615071058273315
2015,"Norte","RO",1100080,0.956992585392008,0.934587129639353,0.940212523532986,0.932776329762022,0.531863298139961,0.632527351379395
2013,"Norte","RO",1100098,0.810125919778271,0.957002478619251,0.868068501186995,0.992798304423702,0.454768703417073,0.666536390781403
2015,"Norte","RO",1100098,0.955547610177506,0.962107064997357,0.958709760061889,0.991230342018898,0.544852246983698,0.709764838218689
2013,"Norte","RO",1100106,0.79978833849071,0.921682806137611,0.846241185231686,0.966375652446735,0.70186431507174,0.667338669300079
2015,"Norte","RO",1100106,0.932971151962661,0.923374296593606,0.922446019186466,0.961929062723225,0.286659389489964,0.668456554412842
2013,"Norte","RO",1100114,0.837533252052572,0.897673163101218,0.890986466391355,0.93979703205375,0.426713601899413,0.647789001464844
2015,"Norte","RO",1100114,0.959463183620127,0.928474410513675,0.959223779382954,0.953168888516771,0.548423219293492,0.666084945201874
2013,"Norte","RO",1100122,0.860589959093802,0.927958668885249,0.921877515995963,0.968591449371477,0.78225814312217,0.65357232093811
2015,"Norte","RO",1100122,0.958524411852028,0.954229337970468,0.961290251404636,0.990983560592889,0.90282558830305,0.658401131629944
2013,"Norte","RO",1100130,0.798144925995665,0.911985959826303,0.866362048940057,0.939517603083837,0.412810552902668,0.618890464305878
2015,"Norte","RO",1100130,0.960006093988587,0.923271672970763,0.963207590146037,0.940632036391532,0.825709481740845,0.612521529197693
2013,"Norte","RO",1100148,0.879154316963918,0.936200515682588,0.927807982982999,0.963686946414242,0.860531345822088,0.663742482662201
2015,"Norte","RO",1100148,0.965672102090968,0.966221493138875,0.972381628182321,0.989229555307387,0.746470644296675,0.637799382209778
2013,"Norte","RO",1100155,0.842214340039949,0.952513270016014,0.893995044860144,0.98686829616569,0.2500241980833,0.623187780380249
2015,"Norte","RO",1100155,0.961289576557812,0.966370509970079,0.96431960291589,0.987667925002769,0.457953186460076,0.674144208431244
2013,"Norte","RO",1100189,0.862971311729456,0.937310924143311,0.916496479002485,0.96054870512538,0.325060282046459,0.665591478347778
2015,"Norte","RO",1100189,0.965302218916846,0.953744186843692,0.970217401032899,0.96677847002834,0.476584225567739,0.674236655235291
2013,"Norte","RO",1100205,0.776566507748568,0.915953781253067,0.823626380260615,0.963898994827406,0.31762064957578,0.626834452152252
2015,"Norte","RO",1100205,0.961026863516325,0.946625602206294,0.960893176021811,0.971433921848071,0.381603297334274,0.645375788211823
2013,"Norte","RO",1100254,0.885719753096273,0.952180794186628,0.937549833720532,0.982253864571106,0.61235589487706,0.678922772407532
2015,"Norte","RO",1100254,0.967108699890346,0.954518432713608,0.972197784968273,0.978531210795664,0.426445727538614,0.675509572029114
2013,"Norte","RO",1100262,0.730700118713376,0.902645389523147,0.794674111407358,0.906085014029811,0.208314190314218,0.620100378990173
2013,"Norte","RO",1100288,0.834014791547056,0.955417252656698,0.876197102440935,0.990141207531812,0.745604775793489,0.642625391483307
2015,"Norte","RO",1100288,0.971382189247633,0.973946913751951,0.969940164577964,0.993797644081565,0.834091061597307,0.69961142539978
2013,"Norte","RO",1100296,0.879852316810291,0.948538961453529,0.927112692402116,0.994585441019539,0.880639830212208,0.651832818984985
2015,"Norte","RO",1100296,0.974142031516701,0.964690896017956,0.974746126057246,0.987838420127911,0.916728448253584,0.689493060112
2013,"Norte","RO",1100304,0.831327841988566,0.958901102949409,0.888525853823691,0.991789368021707,0.860053770566488,0.640124261379242
2015,"Norte","RO",1100304,0.963378227440223,0.961741829980049,0.966585089627986,0.982400395132055,0.759810976890128,0.646180212497711
2013,"Norte","RO",1100320,0.779957325320283,0.912997651200095,0.832578941703085,0.977135171310299,0.870321469940532,0.599106013774872
2015,"Norte","RO",1100320,0.949099148983889,0.935345784357091,0.950697846688674,0.984037012700258,0.800710595529663,0.604982852935791
2013,"Norte","RO",1100338,0.800919107101817,0.904527628629669,0.859708024243858,0.907299529702054,0.340120536113291,0.56738954782486
2015,"Norte","RO",1100338,0.951074939194272,0.880139148745594,0.959018219147461,0.910344620925616,0.472633801178069,0.643662393093109
2013,"Norte","RO",1100346,0.820106795965481,0.897706640199025,0.883305431366075,0.97885660411354,0.630298542570927,0.650765776634216
2015,"Norte","RO",1100346,0.951515268919154,0.927247652877438,0.956525790215707,0.983999475840574,0.641382521787381,0.69463449716568
2013,"Norte","RO",1100379,0.781618701302745,0.9542302483536,0.8526103406109,0.9860618704473,0.477576622991898,0.62821751832962
2015,"Norte","RO",1100379,0.955073571645067,0.948015721796725,0.957013700773865,0.983709014863495,0.496353804354386,0.695914387702942
2013,"Norte","RO",1100403,0.707370594048791,0.883451640050539,0.778136820484021,0.944279135743356,0.497708481019929,0.615912795066833
